,index,bio,n_budget,language
45,Кибербезопасность,Первая онлайн-магистратура Высшей школы экономики по кибербезопасности отвечает на вызовы эпохи интенсивной цифровизации и готовит конкурентоспособных специалистов с практическими навыками защиты от актуальных киберугроз на базе новейших технологий.Реализуется совместно с платформой «Нетология».,,RUS
46,Кинопроизводство,"(Ранее ­— программа «Кинопроизводство в мультиплатформенной среде»)Программа готовит продюсеров кино и телевидения, организаторов кинопроизводства.  Программа уделяет особое внимание изучению драматургии как основы профессии и освоение практических навыков разработки и анализа сценариев: сюжетов, персонажей, отдельных сцен, структуры фильмов и сериалов.",25,RUS+ENG
47,Китайский язык в межкультурной бизнес-коммуникации,"Магистерская программа «Китайский язык в межкультурной бизнес-коммуникации» отвечает актуальным требованиям современной образовательной среды и рынка труда, создавая условия для подготовки высококвалифицированных специалистов, обладающих глубокими знаниями как языка и культуры, так и особенностей коммуникации в академической среде и в бизнес контексте с представителями Китая.Выпускники программы имеют возможность построить карьеру в сфере межкультурной коммуникации, международных отношений, бизнеса, образовательных и культурных инициатив.",,RUS+ZHO
48,"Классический и современный Восток: языки, культуры, религии","Программа готовит специалистов по языкам, истории, культуре, религиям и словесности Востока и сфокусирована прежде всего на классическом наследии (в том числе на том, как это наследие воспринимается и интерпретируется в современных обществах).В 2026 г. набор будет производиться по двум траекториям:Арабистика и семитологияИстория и культура КитаяВыпускники программы смогут заниматься научной, преподавательской и культурно-просветительской деятельностью, выступать экспертами и консультантами в частных и государственных организациях соответствующей специфики, работать в СМИ и образовательных проектах.",15,RUS
49,Клеточная и молекулярная биотехнология,"Образовательная программа магистратуры «Клеточная и молекулярная биотехнология» направлена на подготовку высококвалифицированных исследователей по актуальным направлениям биологии и биотехнологии: биоинженерии, биомедицине или биотехнологии растений. Программа дает современные знания в области биохимии, биотехнологии, технологий геномного редактирования, других приоритетных направлениях развития биологической науки, менеджмента в сфере биотехнологий, патентоведения и т.п. Особое внимание уделяется приобретению практических навыков работы в современной лаборатории и проведению магистром научных исследований. Программа подходит для студентов, нацеленных на будущую карьеру как в научно-исследовательских, так и прикладных сферах биологии и биотехнологии.(Ранее  — программа «Биоэкономика»)",15,RUS+ENG
50,Когнитивные науки и технологии: от нейрона к познанию,"Программа предназначена для российских и зарубежных студентов степени бакалавра и специалистов в области психологии, биологии, математики, лингвистики или других смежных областей. Данная магистратура – единственная англоязычная в России, нацеленная на углубленную подготовку специалистов в области когнитивной психологии, когнитивных нейронаук и моделирования. Программа сфокусирована на современных исследованиях специфики молекулярных, физиологических и когнитивных механизмов, определяющих поведение - вопросов, никогда не теряющих актуальность.",20,ENG
51,Коммуникации в государственных структурах и НКО,"Программа направлена на развитие прикладных компетенций, необходимых для успешной карьеры в органах государственной власти и НКО, а также для взаимодействия с ними.Выпускники программы — лидеры GR- и PR- направлений, которые понимают специфику государственного и некоммерческого секторов, создают комплексные коммуникационные кампании и эффективно продвигают интересы организаций.",15,RUS
52,Комплаенс и профилактика правовых рисков,"Единственная в России комплексная магистерская программа по подготовке специалистов в области антикоррупционного и регуляторного комплаенса и управления коррупционными, регуляторными и иными некоммерческими рисками. Вы получите фундаментальное антикоррупционное образование, а также весь комплекс знаний и навыков, в дополнение к юридическим компетенциям, необходимым для работы в динамично развивающейся сфере современного комплаенса.",21,RUS
53,Комплексный социальный анализ,"Главное отличие программы — это синтез фундаментальной теоретической подготовки с освоением слушателями методологии и методов социологических исследований на продвинутом уровне. Учебные курсы программы включают серьезное теоретическое ядро и подразумевают обучение навыкам применения теоретических концепций к анализу социологических сюжетов и проблематик (от социетальной эволюции и моделей объяснения до концептуализации проблем идеологии, власти, социальной политики, гендера и т.п.).Полученные знания и выработанные компетенции позволяют выпускникам быть высококвалифицированными социологами-практиками, способными самостоятельно разрабатывать, планировать и проводить социологические и маркетинговые исследования, опираясь на глубокие знания в области социологической теории и методологии.",20,RUS+ENG
54,Компьютерная лингвистика,"Вы уже привыкли к компьютерному переводчику, голосовому помощнику, поисковым сервисам. А хотите узнать, как они устроены изнутри и принять участие в разработке новых машинных систем, предназначенных для анализа текстов и живой человеческой речи? Тогда вас должна заинтересовать обучающая программа «Компьютерная лингвистика». В нее входят и экспериментальные исследования феномена речи, и разработка электронных языковых справочников, и создание обучающих языкам интернет-ресурсов.Учебный курс включает освоение различных моделей теории языка, алгоритмов автоматического улучшения текста, теории и практики машинного перевода. Студенты занимаются исследованиями и научными проектами, ездят в летние экспедиции и стажируются в компьютерно-языковых профильных компаниях России и Европы.",25,RUS+ENG
55,Компьютерные системы и сети,"Образовательное направление 09.04.01 «Информатика и вычислительная техника» находится в тесном взаимодействии с наукой и бизнесом. Студенты магистерской программы получают теоретические знания и практические навыки по вопросам разработки и обеспечения безопасности интегрированных вычислительных комплексов и систем, корпоративных компьютерных сетей, изучают вопросы разработки и внедрения высоконагруженных систем и систем искусственного интеллекта, высокозащищенных программно-аппаратных комплексов.",50,RUS+ENG
56,Корпоративные финансы,"Магистратура «Корпоративные финансы» готовит специалистов, способных не просто оказывать аналитическую поддержку стратегическому менеджменту компании, но и формировать образцы лучших практик в финансах. Наша магистерская программа обеспечивает подготовку лидеров в управлении корпоративными финансами.",,RUS+ENG
57,Кросс-культурные исследования Азии и Африки в контексте международных отношений,"Магистерская программа направлена на комплексное изучение стран Азии и Африки посредством сочетания методов кросс-культурных исследований в области международных отношений. В рамках лингво-культурологических семинаров оттачивается владение основным восточным языком, либо изучается новый восточный язык.Выпускники становятся специалистами междисциплинарного уровня, обладающими экспертными компетенциями в области международных отношений и межкультурных коммуникаций, могут оказывать экспертно-аналитические услуги в различных учреждениях, продолжают академическую карьеру.",15,RUS+ENG
58,Культурные исследования,"Программа продолжает и развивает традицию британских и американских культурных исследований, дополняя характерную для них социально-критическую перспективу новейшими достижениями современных социальных наук и философии. Тематический профиль программы включает в себя такие направления в исследованиях современной культуры как культурная антропология, визуальная культура, материальная культура, исследования культурного измерения аффектов и чувственности.Новая программа – результат объединения двух магистерских программ Школы философии и культурологии: Прикладная культурология и Визуальная культура.",30,RUS+ENG
59,ЛигалТех / Legal Tech,"Первая магистратура по legal technology в России будет готовить высококлассных специалистов по автоматизации и цифровизации юридической функции. Программа включает курсы по анализу данных, программированию, автоматизации юридических процессов, машиночитаемому праву. При этом программа позволяет даже человеку с непрофильным образованием прийти и овладеть необходимыми компетенциями в legal tech.Онлайн-программа. Диплом магистра по двум специальностям: «Юриспруденция» и «Прикладная математика и информатика».",,RUS
60,Литературное мастерство,"В магистратуре «Литературное мастерство» два трека: художественная проза и художественный перевод. Мы учим писать прозу и переводить художественные тексты с английского языка. Всё зависит от того, какой трек вы предпочтете.Чтобы писать хорошие книги, необходима широкая литературная эрудиция, знание современной культуры, актуальных трендов, свободная ориентация в книжном рынке и вместе с тем понимание, как устроен текст, и умение профессионально анализировать его.",25,RUS
61,Магистр аналитики бизнеса,Получи степень магистра в области аналитики бизнеса и стратегической бизнес-отчетности и стань финансовым лидером!Обучение на английском языке. Диплом НИУ ВШЭ.,,ENG
62,Маркетинг,"Программа основана на практике, в аудитории со студентами работают представители компаний: ТЦ МЕГА, ИКЕА, YOTA, Marketing Division Agency, E-PROMO, RAI (Regional Analytics & Information). Ежегодно до 50% студентов обучаются по программе межкампусной мобильности.Программа сочетает в себе теоретические изыскания – эконометрические модели, математические подходы к маркетингу и анализу рынка – и практические навыки использования современных рекламных инструментов – интернет-реклама, система контекстной рекламы, поисковая оптимизации, мультиканальный маркетинг, а также разработка креативов под разные рекламные инструменты.",,RUS+ENG
63,Маркетинг - менеджмент,"Первая онлайн магистерская программа по маркетинг-менеджменту Высшей школы экономики.Для всех, кто стремится построить успешную карьеру в маркетинге. Диплом НИУ ВШЭ. ",,RUS+ENG
64,Маркетинг: цифровые технологии и маркетинговые коммуникации,"Программа «Маркетинг: цифровые технологии и маркетинговые коммуникации» ориентирована на подготовку маркетологов нового времени, способных оперативно адаптироваться к современным трендам и противостоять таким вызовам как пандемия Covid-19, глобальный кризис и т.д.Содержание программы постоянно актуализируется к требованиям быстро  меняющейся среды и построено с учётом цифровизации, проектного управления,  формирования мета-навыков будущего, использования больших данных, искусственного интеллекта, мультимедийности, ограниченных маркетинговых бюджетов .",40,RUS+ENG
65,Математика,"Магистерская программа «Математика» является англоязычной программой двух дипломов: НИУ ВШЭ и университета г. Пассау (Германия) с возможностью очного пребывания в Германии в течение года.Программа направлена на подготовку высококвалифицированных специалистов в области фундаментальной математики, способных конструировать, исследовать, интерпретировать и оптимизировать математические модели для решения научных и инженерных задач.",15,ENG
66,Математика машинного обучения,"(ранее — программа «Статистическая теория обучения») Математика машинного обучения находится на переднем крае различных дисциплин математики и компьютерных наук. Это одна из наиболее динамичных областей современной науки, охватывающая математическую статистику, машинное обучение, оптимизацию, а также теорию информации и теорию сложности.Студенты уже на уровне подготовки магистерских работ ведут активную научную деятельность в рабочих группах. Преподаватели – ведущие специалисты Сколтеха и ВШЭ, а также приглашенные мировые лидеры в данных научных областях.Студенты, поступившие в НИУ ВШЭ и Сколковский институт науки и технологий (Сколтех), получают два диплома, а также стипендию Сколтеха.",20,ENG
67,Машинное обучение в цифровом продукте,"Программа «Машинное обучение в цифровом продукте» реализуется совместно ФКН ВШЭ и Авито. Цель программы - подготовить будущих специалистов, способных применять передовые методы машинного обучения при создании и развитии цифровых продуктов. Обучение направлено на освоение современных инструментов анализа данных, ИИ, а также управление проектами и командами.Финансирование со стороны Авито покрывает 100% стоимости обучения (30 мест) и не предполагает дополнительных обязательств со стороны студента программы.",,RUS
68,Машинное обучение и анализ данных,"Программа для тех, кто не является профессиональным программистом или специалистом в области машинного обучения и анализа данных, но очень хочет им стать. Студентов ждет индивидуальная практическая работа и участие в реальных промышленных или научно-исследовательских проектах.В программе предусмотрен усиленный внутренний трек для выпускников бакалавриата, предполагающий реализацию совместных с VK проектов в области рекомендательных систем.Выпускники программы могут работать инженерами и программистами-исследователями в ведущих российских IT-компаниях, таких как VK, или продолжить обучение в аспирантуре лучших университетов России.",30,RUS+ENG
69,Медиаменеджмент,"Магистерская программа готовит медиаменеджеров, способных управлять системами информационных производств различных масштабов – от small media до холдингов.Уникальность программы «Медиаменеджмент» состоит в удержании баланса между академическим и практическим подходами. Наши студенты применяют полученные навыки сразу на практике с помощью кейсов, курсов, направленных на понимание процессов в медиа, практики и работе с индустриальными партнерами.",20,RUS+ENG
70,Медиапроизводство и медиааналитика,"Программа призвана научить генерировать идеи современных медиапроектов: от приложений в смартфоне до собственного Youtube канала. Выпускники смогут работать в ведущих медиаструктурах XXI века: от СМИ будущего (интернет СМИ, штаб-квартиры социальных сетей и мессенджеров, интернет-приложения) до культурных индустрий (музей; студии, создающие аудиовизуальный контент; цифровые издательства).",14,RUS+ENG
71,Международная торговая политика,"Инновационный образовательный продукт, не имеющий аналогов в российской высшей школе. В 2022 году магистерская программа вошла в мировой рейтинг университетских программ в области международной торговли (QS International Trade Rankings), в котором заняла 68 место.",25,RUS+ENG
72,Международные отношения: европейские и азиатские исследования,"Программа ориентирована на подготовку специалистов в области мировой политики и экономики. Студенты изучают особенности международной политики и экономических отношений в Европейском союзе, Восточной и Юго-Восточной Азии, на Ближнем и Среднем Востоке, рассматривая их развитие и взаимодействие с Россией. В процессе обучения они анализируют проблемы и тенденции этих регионов, а также исследуют вопросы, связанные с политикой безопасности России и её стратегическим поворотом на Восток.Уникальной особенностью программы является возможность выбора в процессе обучения одного из направлений специализации, включая европейские исследования, азиатские исследования, Ближний Восток и Южная Азия, Россия в мире, международные конфликты и стратегии.",35,RUS+ENG
73,Международный бизнес,"Англоязычная магистерская программа «Международный бизнес» (MIB) готовит высококвалифицированных специалистов по интернационализации бизнеса, которые будут разрабатывать инновационные стратегии трансформации для международных компаний в ответ на вызовы быстро меняющейся глобальной бизнес-среды.Эта практико-ориентированная программа полностью интегрирована в реальный мир бизнеса, чтобы выпускники MIB смогли сделать быстрый карьерный рост в международных компаниях или запустить успешный глобальный стартап.MIB – единственная программа в России, вошедшая в Топ-100 лучших магистерских программ по менеджменту в мире согласно рейтингу QS World University Ranking.",,ENG
74,Международный бизнес в странах Азиатско-Тихоокеанского региона,"Магистратура готовит специалистов, компетентных в вопросах политического устройства и социально-экономического развития, а также ведения бизнеса в странах Азиатско-Тихоокеанского региона. Выпускники программы смогут использовать передовые управленческие практики и находить креативные решения для новых бизнес-моделей в глобальном мире.Программа отвечает растущему значению глобального региона АТР и связанной с этим потребности в развитии экспертного знания об этом ключевом регионе как на национальном, так и на международном уровне.",30,ENG
75,Международный корпоративный комплаенс и этика бизнеса,"Готовит специалистов международного уровня в области комплаенс и этики бизнеса. Здесь учат определять и выявлять риски санкций и (или) иных мер негативного воздействия со стороны надзорных органов для компаний, проводить комплаенс-исследования, находить правовые средства минимизации рисков для компаний, разрабатывать локальные нормативные акты в сфере корпоративного комплаенс контроля и т.д.Выпускники работают в комплаенс-службах крупнейших российских и зарубежных организаций, что сейчас особенно востребовано, так как в регулирование были добавлены дополнительные требования по организации внутреннего контроля организаций, в российских и международных юридических и консалтинговых компаниях.",,RUS+ENG
76,Международный менеджмент /  Master in International Management,"Магистерская программа «Международный менеджмент» направлена на подготовку профессиональных менеджеров для мультинациональных международных компаний (МНК), действующих в высококонкурентном цифровом мире.Содержание программы состоит из трех сквозных взаимосвязанных тем: глобальные стратегии и операции; цифровая трансформация и новые бизнес-модели; корпоративная социальная ответственность и устойчивое развитие.Программа преподается на английском языке, предоставляет возможность международной мобильности для всех студентов, что позволяет выпускникам приобрести высококачественный образовательный опыт.",40,ENG
77,"Международный спортивный менеджмент, маркетинг и право","(ранее — программа «Международный спортивный менеджмент и маркетинг»)Программа готовит новое поколение спортивных менеджеров и юристов, способных принимать эффективные управленческие решения и организовывать деятельность организаций спортивной индустрии в соответствии с лучшими мировыми практиками. Студенты освоят не только современную теорию и практику спортивного менеджмента, но и основы международного и российского спортивного права, специфику маркетинга, особенности финансового менеджмента, правила построения коммуникаций в сфере спорта.",,RUS+ENG
78,Менеджмент в индустрии впечатлений,"«Менеджмент в индустрии впечатлений» – программа для тех, кто интересуется искусством и хочет связать свою профессиональную деятельность с арт-менеджментом и кураторством. Студенты изучают авторские курсы от практиков сферы креативных индустрий и работают в проектах ведущих арт-институций: Государственный Эрмитаж, Музей Фаберже, Новая сцена Александринского театра, ГМЗ «Царское Село», которые будут полезны для формирования индивидуального профессионального пути.Наши выпускники – менеджеры, кураторы и предприниматели в сфере креативных индустрий, культуры, развлечений, культурного туризма, событийной деятельности, имеющие возможность развивать карьеру в России и за рубежом.",25,ENG
79,Мировая экономика,"Программа призвана дать систематические знания о характере развития мирового хозяйства как взаимосвязанной системы взаимодействующих на мировой арене национальных хозяйств, международных организаций и транснациональных структур, а также помочь пониманию основных тенденций, проблем и перспектив мировой экономики.Выпускники программы - новое поколение экономистов с компетенциями, позволяющими оценить прорывной потенциал широкого спектра научно-технологических изменений в мире, ускоренных активно развивающейся цифровизацией.",55,RUS+ENG
80,Население и развитие / Population and development,"Магистерская программа «Население и развитие» предназначена студентам, желающим разобраться во влиянии развития общества на социально-экономические процессы. Обучение проходит на английском языке и охватывает подготовку аналитиков как на государственном, так и международном уровнях.Вы освоите навыки сбора статистических данных для проведения количественных исследований, ведения аналитических проектов и не только. Научитесь решать стратегические задачи муниципального управления, бизнеса, некоммерческих организаций с учетом показателей демографической статистики.Наши выпускники работают в корпоративном секторе (Danone, Johnson & Johnson, Novartis, Toyota), исследовательских центрах, государственных органах (Минздрав, ФГБУ «ЦНИИОИЗ»), а также некоммерческих организациях и фондах, отвечающих на глобальные вызовы XXI века.",5,ENG
81,Науки о данных (Data Science),"Стремительное развитие общества связано с двумя ключевыми направлениями науки и технологий: методами работы с большими данными (Big Data) и искусственным интеллектом (Artificial Intelligence). На стыке указанных дисциплин и существует магистерская программа «Науки о данных (Data Science)»Выпускники программы смогут овладеть спектром новейших эффективных математических технологий, не включенных в классические математические учебники, которые будут существенно способствовать повышению их конкурентоспособности и востребованности.",36,RUS/ENG
82,Нейробиология,"Новая программа. Первый набор в 2026 годуПрограмма направлена на подготовку высококвалифицированных исследователей в области нейробиологии, способных к самостоятельной исследовательской, проектной и аналитической деятельности в научных, медицинских и коммерческих организациях.Магистратура фокусируется на наиболее быстро развивающихся направлениях современной нейробиологии. Они включают в себя изучение методов сбора данных поведения, активности мозга, молекулярной биологии мозга, а также современных алгоритмов анализа этих данных и конструирования устройств для их сбора.Особое внимание уделяется приобретению практических навыков работы в современной лаборатории и проведению магистром научных исследований.",15,RUS+ENG
83,Обучение и оценивание как наука,"Обучение и оценивание как наука — междисциплинарная программа на стыке исследований нейронаук, психометрики и образования.Здесь готовят специалистов, которые:обладают необходимыми знаниями и навыками для проведения исследований, связанных с обучением и развитием человека от младенчества до старостианализируют данные с применением современных методов статистики, машинного обученияразрабатывают и адаптируют инструменты оценивания, тесты и опросники с использованием последних достижений психометрикиРеализуется в гибридном формате: оффлайн-занятия проходят в кампусе ВШЭ в Москве с одновременной трансляцией онлайн.",30,RUS/ENG
84,Операционная эффективность и производственные системы,"(Ранее – программа «Производственные системы и операционная эффективность»)Магистерская программа реализуется в партнерстве с международными лидерами в области развития производственных систем – компаниями НЛМК, УГМК, Яков и партнеры, Росатом, Технониколь, ГАЗ. Совершенствование процессов для компаний – это ключ к повышению гибкости и устойчивости, производительности, поддержанию высокого качества, снижению затрат и сохранению конкурентоспособности на рынке. При этом на рынке наблюдается дефицит специалистов, способных повышать эффективность процессов компании.Программа ориентирована на практику, что позволяет обучающимся получать знания и навыки, необходимые для успешного управления операционной деятельностью в организациях (как в промышленности, так и в сфере услуг) и при создании собственных компаний. В процессе обучения студенты реализуют проекты улучшений в компаниях под руководством экспертов из реального сектора.",30,RUS+ENG
85,Педагогический дизайн: теория и практика обучения,"Программа объединяет дисциплины, связанные с исследованием рынка и целевой аудитории, проектированием образовательных продуктов и продвижением разработок. Студенты проходят практику в ведущих компаниях, создают авторский продукт. Такой подход позволяет создавать разработки «под ключ», базируясь на фундаментальных основаниях.Выпускники могут стать педагогическими дизайнерами, дизайнерами образовательного опыта, методистами и исследователями EdTech.",,RUS
