,index,bio,n_budget,language
14,Бизнес-информатика: цифровое предприятие и управление информационными системами,"Магистерская программа нацелена на подготовку менеджеров, способных решать задачи бизнеса с помощью информационных технологий. Деятельность выпускников связана с поддержкой принятия решений для управления эффективностью бизнеса, организацией работы с информационными системами на всех этапах их жизненного цикла, архитектурой бизнес-процессов, реорганизацией и оптимизацией бизнеса.Программа предназначена для выпускников бакалавриата и специалитета экономико-управленческих, физико-математических и инженерных специальностей, а также программ информатики и IT-менеджмента.",40,RUS+ENG
15,Биоинформатика в агробиотехнологиях,"Магистратура предназначена для бакалавров в области прикладной математики и/или анализа больших данных и специалистов, работающих в Агропродовольственном секторе и желающих приобрести или усовершенствовать навыки биоинформатики и решения практических задач по анализу данных в животноводстве и растениеводстве, представленных ведущими российскими агрохолдингами.Программа разработана в ответ на возрастающую потребность аграрной отрасли страны в квалифицированных специалистах, имеющих знания в сфере цифровых технологий, которые умеют применять их в практической деятельности предприятия с целью повышения производительности производства и эффективности бизнеса.",15,RUS
16,Бэкенд-разработка и архитектура программных систем,"Новая программа. Первый набор в 2026 годуМагистратура готовит специалистов, которые умеют проектировать, разрабатывать и масштабировать сложные серверные приложения на современных языках — Python, Go, Java, Rust. Программа формирует T‑shaped разработчиков — инженеров, способных не только писать надежный код, но и развивать цифровые решения вместе с продуктовой командой.",200/10,RUS
17,Вычислительная биология и биоинформатика,"Программа разработана в партнерстве с биотехнологической компанией BIOCAD и реализуется с 2021 годаДанная программа предназначена для физиков, математиков и программистов, которые хотят решать интересные и сложные задачи из области вычислительной биологии на стыке программирования, анализа данных и современной биоинформатики.Студенты научатся применять свои аналитические и исследовательские навыки в биологии и фармакологии, решая критично важные задачи для развития этих направлений.Выпускники — будущие лидеры в разработке и исследованиях вычислительных методов создания лекарственных средств.",7,RUS
18,Глобальная и региональная история / Global and Regional History,"Программа для тех, кто интересуется современными методами и дискуссиями в истории вне традиционного для России деления на историю «отечественную» и «всеобщую». Возможность специализации (major) как по истории, так по социальной антропологии. Отличный мост к аспирантуре как нашего университета (включая совместную с Университетом Турина аспирантуру по глобальной истории империй), так и ведущих вузов России и мира.Программа позволяет успешно реализовываться в таких практических сферах, как креативные индустрии, журналистика, музейное пространство, библиотечное дело и др.",10,ENG
19,Городское развитие и управление,"Магистерская программа «Городское развитие и управление» готовит высококвалифицированных специалистов в области развития городов и городских территорий. Она нацелена на подготовку высококвалифицированных специалистов, способных участвовать в процессах подготовки, принятия, реализации, оценки и экспертного сопровождения управленческих решений органов публичной власти и бизнеса по развитию городов и городских территорий.Выпускники востребованы на лидирующих позициях в органах публичной власти регионов и муниципалитетов, учреждениях бюджетной сферы и ГУПах, а также в консалтинговых компаниях, проектных и научно-исследовательских организациях.",20,RUS+ENG
20,Государственное и муниципальное управление,"Цель программы — подготовка профессионалов в сфере государственного и муниципального управления, а также специалистов предприятий и организаций, тесно взаимодействующих с органами власти федерального, регионального и местного уровней.Студенты изучают основы и механизмы государственного и муниципального управления, приобретают знания и компетенции в области государственного регулирования, управления государственными финансами, проведения государственных закупок, реализации проектного управления в государственном секторе, управления муниципальным социально –экономическим развитием, в принятии управленческих решений.",15,RUS+ENG
21,Государственно-конфессиональные отношения. Правовое регулирование деятельности религиозных объединений,"Программа рассчитана на подготовку высококвалифицированных магистров юриспруденции, экспертов, специализирующихся в области  государственно-конфессиональных отношений и правового регулирования деятельности религиозных объединений, способных организовать работу юридической функции религиозной организации на современном уровне в полном соответствии с требованиями международного и национального законодательства, а также обеспечить в своей деятельности правовую защиту фундаментальных человеческих ценностей в религиозной сфере, в первую очередь, права на свободу вероисповедания и свободу совести.(Ранее  — программа «Церковь, общество и государство. Правовое регулирование деятельности религиозных объединений»)",20,RUS+ENG
22,Гражданское и коммерческое право,"Программа направлена на подготовку юристов, способных ориентироваться в вопросах гражданского и коммерческого права и применять свои знания на практике, осуществляя квалифицированное юридическое сопровождение сделок, консультирование, представление интересов других лиц в имущественных и экономических спорах. Выпускники программы могут быть востребованы как специализированными юридическими компаниями, адвокатскими бюро, так и непосредственными участниками экономических отношений (in house), заинтересованными в специалистах в области защиты прав и законных интересов участников гражданского оборота.",16,RUS
23,Демография,"Магистерская программа «Демография» ориентирована на подготовку высококвалифицированных специалистов, обладающих глубокими знаниями демографических тенденций, методов анализа и теорий в сочетании с фундаментальной подготовкой в области социологии и экономики.В ходе обучения студенты получают навыки, позволяющие обрабатывать и анализировать массивы информации о населении (включая «большие данные»), организовывать и проводить социально-демографические обследования, применять разнообразный методологический инструментарий для решения практических и исследовательских задач.",16,RUS
