name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"a-the-valiant-welshman","eng000609","","A.","0","The Valiant Welshman","","","https://texts.earlyprint.org/works/A05801.xml","","","","","1615","0","false","","","","","","","","","1615","","0","0","0","0","0","","","","25","","5","25","17840","16429","986","121","1727"
"alexander-caesar","eng000261","","Alexander","0","Caesar","","Tragedy","https://texts.earlyprint.org/works/A16527_04.xml","","","","","1604","11","false","0.47878787878787876","0.38181818181818183","1.6","eng000261-marcus-brutus|eng000261-chorus","3.8181818181818183","3","","","","6","11","3","8","0","1","2","21","1604","9","","5","8","26908","21407","48","33","2584"
"alexander-croesus","eng000258","","Alexander","0","Croesus","","Tragedy","https://texts.earlyprint.org/works/A16527_01.xml","","","","","1604","11","false","0.701948051948052","0.32727272727272727","1.5135135135135136","eng000258-croesus","3.272727272727273","2","","","","8","11","1","10","0","1","2","18","1604","9","","5","8","24397","20156","28","10","2422"
"alexander-darius","eng000259","","Alexander","0","Darius","","Tragedy","https://texts.earlyprint.org/works/A16527_02.xml","","","","","1603","14","false","0.7333333333333333","0.27472527472527475","2.4285714285714284","eng000259-sisigambis","3.5714285714285716","5","","","","6","14","0","0","0","0","1","25","1603","9","","5","7","19153","14453","33","45","1683"
"alexander-the-alexandraean-tragedy","eng000260","","Alexander","0","The Alexandraean Tragedy","","Tragedy","https://texts.earlyprint.org/works/A16527_03.xml","","","","","1605","16","false","0.6452380952380952","0.2916666666666667","1.7721518987341771","eng000260-ptolemy","4.375","4","","","","10","16","2","14","0","1","3","35","1605","9","","5","8","28756","23337","36","23","2817"
"anon-a-knack-to-know-a-knave","eng000095","Q49000520","Anon.","0","A Knack to Know a Knave","","Comedy","https://texts.earlyprint.org/works/A04888.xml","","","","","1592","29","false","1","1","1","several characters","28","1","","","","28","29","2","27","0","0","1","406","1592","1","2","0","0","17204","16882","247","71","1654"
"anon-a-larum-for-london","eng000106","","Anon.","0","A Larum for London, or The Siege of Antwerp","","","https://texts.earlyprint.org/works/A06270.xml","","","","","1602","38","false","0.9736842105263158","0.9473684210526315","1","several characters","35.05263157894737","1","","","","36","38","5","33","1","2","2","666","1602","2","","0","0","13639","13036","504","20","1531"
"anon-alphonsus-emperor-of-germany","eng000372","","Anon.","0","Alphonsus, Emperor of Germany","","Tragedy","https://texts.earlyprint.org/works/A31675.xml","","","","","1594","19","false","0.92781217750258","0.8771929824561403","1.1228070175438596","several characters","15.789473684210526","2","","","","18","19","2","17","0","1","1","150","1594","5","","5","0","22105","21238","678","81","2409"
"anon-arden-of-faversham","eng000324","Q1625343","Anon.","0","Arden of Faversham","","Tragedy","https://texts.earlyprint.org/works/A20951.xml","","","","","1590","18","false","1","1","1","several characters","17","1","","","","17","18","2","16","0","0","1","153","1590","1","7","0","0","21146","20507","548","330","2087"
"anon-band-cuff-and-ruff","eng000064","","Anon.","0","Band, Cuff, and Ruff, or Exchange Ware at the Second Hand","","Comedy","https://texts.earlyprint.org/works/A03424.xml","","","","","1615","3","false","1","1","1","eng000064-band|eng000064-cuffe|eng000064-ruff","2","1","","","","2","3","0","3","0","0","1","3","1615","1","","0","0","1786","1715","18","79","0"
"anon-bonduca","eng000637","","Anon.","0","Bonduca, or The British Heroine","","","https://texts.earlyprint.org/works/A27180.xml","","","","","1696","0","false","","","","","","","","","1696","","0","0","0","0","0","","","","6","","5","1","16965","14789","392","7","1793"
"anon-brutus-of-alba","eng000620","","Anon.","0","Brutus of Alba, or Augusta's Triumph","","","https://texts.earlyprint.org/works/A55543.xml","","","","","1697","0","false","","","","","","","","","1697","","0","0","0","0","0","","","","8","","5","0","11979","9460","820","89","925"
"anon-caesar-and-pompey","eng000427","","Anon.","0","Caesar and Pompey, or Caesar's Revenge","","Tragedy","https://texts.earlyprint.org/works/A73627.xml","","","","","1592","28","false","0.8769131022752209","0.7354497354497355","1.2645502645502646","several characters","19.857142857142858","2","","","","27","28","3","23","2","1","1","278","1592","24","","5","20","20004","19275","286","0","2450"
"anon-canterbury-his-change-of-diet","eng000397","","Anon.","0","Canterbury His Change of Diet","","Comedy","https://texts.earlyprint.org/works/A52953.xml","","","","","1641","11","false","0.5818181818181819","0.2545454545454545","1.391304347826087","eng000397-canterbury","2.5454545454545454","2","","","","6","11","1","10","0","0","3","14","1641","5","","4","1","1542","1330","230","0","125"
"anon-emilia","eng000594","","Anon.","0","Emilia","","","https://texts.earlyprint.org/works/A39384.xml","","","","","1672","0","false","","","","","","","","","1672","","0","0","0","0","0","","","","45","","5","45","20833","19195","864","0","2334"
"anon-everyman","eng000435","Q662065","Anonymous","0","Everyman","","Comedy","http://purl.ox.ac.uk/ota/3034","Manchester University Press","Manchester","1961","","1485","17","false","1","1","1","several characters","16","1","","","1485","16","17","0","1","16","2","1","136","","1","14","0","0","7116","7076","5","0","927"
"anon-fair-em","eng000327","Q5429788","Anon.","0","Fair Em","","Comedy","https://texts.earlyprint.org/works/A21328.xml","","","","","1590","19","false","1","1","1","several characters","18","1","","","","18","19","4","15","0","0","1","171","1590","1","4","1","1","12589","12179","441","1","1472"
"anon-henry-ii-king-of-england","eng000641","","Anon.","0","Henry II, King of England, with the Death of Rosamond","","","https://texts.earlyprint.org/works/A30781.xml","","","","","1693","0","false","","","","","","","","","1693","","0","0","0","0","0","","","","6","","5","2","20649","18864","365","353","1691"
"anon-jack-straw","eng000235","","Anon.","0","Jack Straw","","","https://texts.earlyprint.org/works/A13062.xml","","","","","1590","22","false","0.9241226609647665","0.8095238095238095","1.1904761904761905","several characters","17","2","","","","21","22","2","20","0","1","1","187","1590","4","","4","0","8528","7820","266","7","835"
"anon-jeronimo-with-the-wars-of-portugal-1","eng000097","","Anon.","0","1 Jeronimo, with the Wars of Portugal","","","https://texts.earlyprint.org/works/A04941.xml","","","","","1604","25","false","1","1","1","several characters","24","1","","","","24","25","2","22","1","0","1","300","1604","1","","0","0","10047","9445","599","4","1261"
"anon-knavery-in-all-trades","eng000566","","Anon.","0","Knavery in All Trades, or The Coffee-House","","","https://texts.earlyprint.org/works/A63181.xml","","","","","1664","0","false","","","","","","","","","1664","","0","0","0","0","0","","","","6","","5","3","12741","12234","422","613","10"
"anon-locrine","eng000201","Q6131445","Anon.","0","Locrine","","Tragedy","https://texts.earlyprint.org/works/A11262.xml","","","","","1591","27","false","0.7991757430353922","0.3162393162393162","1.8774928774928774","eng000201-thrasimachus","8.222222222222221","4","","","","20","27","5","22","0","0","1","111","1591","26","4","5","26","16779","15771","883","41","1825"
"anon-mucedorus-and-amadine","eng000377","","Anon.","0","Mucedorus (and Amadine)","","Comedy","https://texts.earlyprint.org/works/A41993.xml","","","","","1591","17","false","1","1","1","several characters","16","1","","","","16","17","3","14","0","0","1","136","1591","1","","0","0","13362","12672","440","344","1034"
"anon-nero","eng000178","","Anon.","0","Nero","","Tragedy","https://texts.earlyprint.org/works/A08065.xml","","","","","1624","30","false","0.8719024389439709","0.696551724137931","1.303448275862069","eng000178-antonius|eng000178-nero|eng000178-tigellinus","20.2","2","","","","29","30","3","27","0","1","1","303","1624","5","","5","0","18747","18407","393","0","2295"
"anon-nobody-and-somebody","eng000179","","Anon.","0","Nobody and Somebody","","","https://texts.earlyprint.org/works/A08262.xml","","","","","1603","28","false","1","1","1","several characters","27","1","","","","27","28","4","24","0","0","1","378","1603","2","","0","0","16935","16292","348","466","1504"
"anon-piso-s-conspiracy","eng000695","","Anon.","0","Piso's Conspiracy","","","https://texts.earlyprint.org/works/A54921.xml","","","","","1676","0","false","","","","","","","","","1676","","0","0","0","0","0","","","","13","","5","12","15360","14563","335","0","1798"
"anon-produced-by-duffett-the-amorous-old-woman","eng000480","","Anon.","0","The Amorous Old Woman, or 'Tis Well if It Take","","","https://texts.earlyprint.org/works/A36755.xml","","","","","1674","0","false","","","","","","","","","1674","","0","0","0","0","0","","","","30","","5","30","19814","18348","413","0","2306"
"anon-produced-by-horden-neglected-virtue","eng000673","","Anon.","0","Neglected Virtue, or The Unhappy Conqueror","","","https://texts.earlyprint.org/works/A44429.xml","","","","","1696","0","false","","","","","","","","","1696","","0","0","0","0","0","","","","10","","5","10","16494","14849","501","238","1136"
"anon-romulus-and-hersilia","eng000723","","Anon.","0","Romulus and Hersilia, or The Sabine War","","","https://texts.earlyprint.org/works/A62347.xml","","","","","1683","0","false","","","","","","","","","1683","","0","0","0","0","0","","","","16","","5","16","21646","20158","643","60","2048"
"anon-settle-the-fairy-queen","eng000621","Q2743188","Anon.","0","The Fairy Queen","","","https://texts.earlyprint.org/works/A59309.xml","","","","","1692","0","false","","","","","","","","","1692","","0","0","0","0","0","","","","13","17","5","0","14827","12445","1079","84","1213"
"anon-she-ventures-and-he-wins","eng000560","Q28455691","Anon.","0","She Ventures and He Wins","","","https://texts.earlyprint.org/works/A59615.xml","","","","","1696","0","false","","","","","","","","","1696","","0","0","0","0","0","","","","18","1","5","18","18381","15967","1128","556","37"
"anon-the-bloody-duke","eng000737","","Anon.","0","The Bloody Duke, or The Adventures for a Crown","","","https://texts.earlyprint.org/works/A28408.xml","","","","","1690","0","false","","","","","","","","","1690","","0","0","0","0","0","","","","15","","11","14","20121","17741","705","342","691"
"anon-the-contention-between-liberality-and-prodigality","eng000287","","Anon.","0","The Contention between Liberality and Prodigality","","Tragicomedy","https://texts.earlyprint.org/works/A19182.xml","","","","","1601","25","false","0.7885258075258075","0.3233333333333333","1.8766666666666667","eng000287-prodigality","7.76","4","","","","16","25","4","21","0","0","1","97","1601","27","","5","26","10773","9226","227","293","795"
"anon-the-cornish-comedy","eng000533","","Anon.","0","The Cornish Comedy","","","https://texts.earlyprint.org/works/A55540.xml","","","","","1696","0","false","","","","","","","","","1696","","0","0","0","0","0","","","","8","","5","5","22079","19416","795","753","20"
"anon-the-counterfeit-bridegroom","eng000516","Q107556930","Anon.","0","The Counterfeit Bridegroom, or The Defeated Widow","","","https://texts.earlyprint.org/works/A50792.xml","","","","","1677","0","false","","","","","","","","","1677","","0","0","0","0","0","","","","9","1","5","9","19663","17800","827","759","73"
"anon-the-counterfeits","eng000514","Q107556931","Anon.","0","The Counterfeits","","","https://texts.earlyprint.org/works/A49875.xml","","","","","1679","0","false","","","","","","","","","1679","","0","0","0","0","0","","","","17","1","5","17","21110","19410","649","715","36"
"anon-the-feigned-astrologer","eng000467","","Anon.","0","The Feigned Astrologer","","","https://texts.earlyprint.org/works/A34590.xml","","","","","1668","0","false","","","","","","","","","1668","","0","0","0","0","0","","","","10","","5","8","32141","31562","775","222","2972"
"anon-the-island-princess","eng000497","","Anon.","0","The Island Princess, or The Generous Portugal","","","https://texts.earlyprint.org/works/A39805.xml","","","","","1669","0","false","","","","","","","","","1669","","0","0","0","0","0","","","","5","","5","5","20871","19949","395","56","2355"
"anon-the-london-prodigal","eng000205","Q5919818","Anon.","0","The London Prodigal","","Comedy","https://texts.earlyprint.org/works/A12023.xml","","","","","1603","19","false","1","1","1","several characters","18","1","","","","18","19","4","15","0","0","1","171","1603","1","6","0","0","17086","16800","305","488","1101"
"anon-the-maid-s-metamorphosis","eng000121","Q7749611","Anon.","0","The Maid's Metamorphosis","","Comedy","https://texts.earlyprint.org/works/A06742.xml","","","","","1600","25","false","0.8715640630289977","0.4633333333333333","1.56","eng000121-joculo","11.12","3","","","","23","25","11","13","1","0","1","139","1600","5","1","5","0","14885","14178","241","21","1689"
"anon-the-merry-devil-of-edmonton","eng000325","Q6131356","Anon.","0","The Merry Devil of Edmonton","","Comedy","https://texts.earlyprint.org/works/A21136.xml","","","","","1599","25","false","1","1","1","several characters","24","1","","","","24","25","4","21","0","0","1","300","1599","1","4","1","0","12752","12135","299","137","1025"
"anon-the-mistaken-husband","eng000477","Q7751785","Anon.","0","The Mistaken Husband","","","https://texts.earlyprint.org/works/A36653.xml","","","","","1675","0","false","","","","","","","","","1675","","0","0","0","0","0","","","","17","1","5","17","23291","21549","899","386","1389"
"anon-the-pedlar-s-prophecy","eng000252","","Anon.","0","The Pedlar's Prophecy","","","https://texts.earlyprint.org/works/A15516.xml","","","","","1561","12","false","1","1","1","several characters","11","1","","","","11","12","3","9","0","0","1","66","1561","1","","0","0","13962","13274","69","13","1478"
"anon-the-reign-of-king-edward-the-third","eng000326","","Anon.","0","The Reign of King Edward the Third","","","https://texts.earlyprint.org/works/A21144.xml","","","","","1590","36","false","1","1","1","several characters","35","1","","","","35","36","3","31","3","4","1","630","1590","1","","0","0","20498","20061","479","0","2503"
"anon-the-siege-and-surrender-of-mons","eng000735","","Anon.","0","The Siege and Surrender of Mons","","","https://texts.earlyprint.org/works/A25278.xml","","","","","1691","0","false","","","","","","","","","1691","","0","0","0","0","0","","","","15","","3","15","8359","7298","686","121","578"
"anon-the-taming-of-a-shrew","eng000237","","Anon.","0","The Taming of a Shrew","","Comedy","https://texts.earlyprint.org/works/A13358.xml","","","","","1590","22","false","1","1","1","several characters","21","1","","","","21","22","4","18","0","0","1","231","1590","1","","0","0","13378","12909","512","187","1317"
"anon-the-trial-of-chivalry","eng000411","","Anon.","0","The Trial of Chivalry","","","https://texts.earlyprint.org/works/A68191.xml","","","","","1599","24","false","1","1","1","several characters","23","1","","","","23","24","2","22","0","1","1","276","1599","1","","0","0","20667","20035","584","130","2087"
"anon-the-true-chronicle-of-king-leir","eng000100","","Anon.","0","The True Chronicle of King Leir","","Tragedy","https://texts.earlyprint.org/works/A05206.xml","","","","","1590","21","false","0.8198116698116698","0.3523809523809524","1.9142857142857144","eng000100-perillus|eng000100-king","7.0476190476190474","4","","","","13","21","3","18","0","1","1","74","1590","32","","1","32","22729","22066","704","42","2459"
"anon-the-true-tragedy-of-richard-the-third","eng000193","","Anon.","0","The True Tragedy of Richard the Third","","","https://texts.earlyprint.org/works/A10730.xml","","","","","1588","44","false","1","1","1","several characters","43","1","","","","43","44","5","39","0","2","1","946","1588","1","","0","0","20107","19661","379","456","689"
"anon-the-unnatural-mother","eng000607","","Anon.","0","The Unnatural Mother","","","https://texts.earlyprint.org/works/A64724.xml","","","","","1698","0","false","","","","","","","","","1698","","0","0","0","0","0","","","","9","","5","4","22443","21318","1258","532","93"
"anon-the-wars-of-cyrus","eng000291","","Anon.","0","The Wars of Cyrus","","Tragedy","https://texts.earlyprint.org/works/A19738.xml","","","","","1588","19","false","0.885573284644492","0.6783625730994152","1.3216374269005848","eng000291-cyrus|eng000291-araspas|eng000291-panthra","12.210526315789474","2","","","","18","19","3","16","0","1","1","116","1588","6","","5","0","13569","13369","192","2","1705"
"anon-the-woman-turned-bully","eng000572","","Anon.","0","The Woman Turned Bully","","","https://texts.earlyprint.org/works/A66885.xml","","","","","1675","0","false","","","","","","","","","1675","","0","0","0","0","0","","","","15","","5","15","32087","30418","624","986","10"
"anon-valentinian","eng000669","Q7911046","Anon.","0","Valentinian","","","https://texts.earlyprint.org/works/A39812.xml","","","","","1685","0","false","","","","","","","","","1685","","0","0","0","0","0","","","","14","2","5","14","25373","23262","410","0","2932"
"anon-wily-beguiled","eng000255","","Anon.","0","Wily Beguiled","","Comedy","https://texts.earlyprint.org/works/A15549.xml","","","","","1602","15","false","1","1","1","several characters","14","1","","","","14","18","4","14","0","0","1","105","1602","1","","0","0","21045","20173","425","561","1302"
"anon-wine-beer-and-ale-together-by-the-ears","eng000021","","Anon.","0","Wine, Beer, and Ale Together by the Ears","","","https://texts.earlyprint.org/works/A01425.xml","","","","","1624","9","false","1","1","1","several characters","8","1","","","","8","9","0","9","0","1","1","36","1624","2","","0","0","6816","6386","150","285","19"
"anon-wit-for-money","eng000579","","Anon.","0","Wit for Money, or Poet Stutter","","","https://texts.earlyprint.org/works/A71267.xml","","","","","1691","0","false","","","","","","","","","1691","","0","0","0","0","0","","","","1","","0","0","13512","11788","44","255","39"
"anon-wits-led-by-the-nose","eng000739","","Anon.","0","Wits Led by the Nose, or A Poet's Revenge","","","https://texts.earlyprint.org/works/A31614.xml","","","","","1678","0","false","","","","","","","","","1678","","0","0","0","0","0","","","","19","","5","19","19190","16443","1603","449","513"
"ariosto-supposes","eng000436","","Ariosto","0","Supposes","","Comedy","https://texts.earlyprint.org/works/A01513_01.xml","","","","","1566","1","false","0","0","0","eng000436-A01513","0","0","","","","0","1","0","0","0","0","1","0","1566","31","","5","31","19220","15056","373","676","2"
"armin-the-two-maids-of-more-clacke","eng000328","","Armin","0","The Two Maids of More-Clacke","","Comedy","https://texts.earlyprint.org/works/A21411.xml","","","","","1606","30","false","1","1","1","several characters","29","1","","","","29","30","6","23","1","0","1","435","1606","1","","0","0","19471","18472","651","179","1745"
"arrowsmith-the-reformation","eng000442","Q107919951","Arrowsmith","0","The Reformation","","","https://texts.earlyprint.org/works/A25891.xml","","","","","1673","0","false","","","","","","","","","1673","","0","0","0","0","0","","","","12","1","5","12","26564","25323","636","1199","40"
"bailey-the-spiteful-sister","eng000456","","Bailey","0","The Spiteful Sister","","","https://texts.earlyprint.org/works/A29360.xml","","","","","1667","51","false","0.8820613872891465","0.6321568627450981","1.367843137254902","several characters","31.607843137254903","2","","","1667","50","51","11","37","3","3","1","806","","5","","5","0","19375","17984","1064","485","1567"
"bancroft-sentorius","eng000642","","Bancroft","0","Sentorius","","","https://texts.earlyprint.org/works/A30789.xml","","","","","1679","0","false","","","","","","","","","1679","","0","0","0","0","0","","","","40","","5","40","17667","16023","412","0","1937"
"banks-cyrus-the-great","eng000643","","Banks","0","Cyrus the Great, or The Tragedy of Love","","","https://texts.earlyprint.org/works/A30838.xml","","","","","1696","0","false","","","","","","","","","1696","","0","0","0","0","0","","","","7","","1","2","22142","20471","690","0","2397"
"banks-the-destruction-of-troy","eng000644","Q108044096","Banks","0","The Destruction of Troy","","","https://texts.earlyprint.org/works/A30839.xml","","","","","1679","0","false","","","","","","","","","1679","","0","0","0","0","0","","","","10","1","4","9","24639","21940","893","0","2594"
"banks-the-innocent-usurper","eng000645","","Banks","0","The Innocent Usurper, or The Death of the Lady Jane Grey","","","https://texts.earlyprint.org/works/A30840.xml","","","","","1694","0","false","","","","","","","","","1694","","0","0","0","0","0","","","","5","","5","0","23353","22359","368","0","2648"
"banks-the-island-queens","eng000646","","Banks","0","The Island Queens, or The Death of Mary Queen of Scotland","","","https://texts.earlyprint.org/works/A30841.xml","","","","","1684","0","false","","","","","","","","","1684","","0","0","0","0","0","","","","5","","5","0","23469","22150","516","0","2562"
"banks-the-rival-kings","eng000647","","Banks","0","The Rival Kings, or The Loves of Oroondates and Statira","","","https://texts.earlyprint.org/works/A30845.xml","","","","","1677","0","false","","","","","","","","","1677","","0","0","0","0","0","","","","5","","5","5","21676","19199","659","0","2207"
"banks-the-unhappy-favourite","eng000648","","Banks","0","The Unhappy Favourite, or The Earl of Essex","","","https://texts.earlyprint.org/works/A30847.xml","","","","","1682","0","false","","","","","","","","","1682","","0","0","0","0","0","","","","5","","0","0","25397","22830","479","1","2694"
"barnes-the-devil-s-charter","eng000068","Q7729899","Barnes","0","The Devil's Charter","","Tragedy","https://texts.earlyprint.org/works/A04539.xml","","","","","1606","41","false","0.7879167187611404","0.24390243902439024","1.853099730458221","eng000068-caesar","9.75609756097561","3","","","","29","41","3","38","0","2","2","200","1606","20","4","5","20","25385","23526","1774","213","2605"
"baron-mirza","eng000649","","Baron","0","Mirza","","","https://texts.earlyprint.org/works/A31023.xml","","","","","1655","27","false","0.9323277205885904","0.8831908831908832","1.1168091168091168","eng000649-beltazar|eng000649-pages|eng000649-mirza","22.962962962962962","2","","","1655","26","27","9","21","0","5","1","310","","5","","10","0","86954","33442","899","534","3708"
"barry-ram-alley","eng000094","","Barry","0","Ram Alley","","Comedy","https://texts.earlyprint.org/works/A04881.xml","","","","","1608","24","false","0.9220735193275239","0.855072463768116","1.144927536231884","several characters","19.666666666666668","2","","","","23","24","5","19","0","2","1","236","1608","5","","5","0","22856","22148","407","406","2470"
"beaumont-fletcher-a-king-and-no-king","eng000104","Q4657580","Beaumont","1","A King and No King","","Tragicomedy","https://texts.earlyprint.org/works/A06207.xml","","","","","1611","25","false","0.8856822887257669","0.69","1.31","several characters","16.56","2","","","","24","25","7","18","0","0","1","207","1611","5","1","5","0","25892","25591","205","715","1988"
"beaumont-fletcher-cupid-s-revenge","eng000102","Q5194491","Beaumont","1","Cupid's Revenge","","Tragedy","https://texts.earlyprint.org/works/A06177.xml","","","","","1607","26","false","0.8799902101308751","0.6984615384615385","1.3015384615384615","several characters","17.46153846153846","2","","","","25","26","7","19","0","2","1","227","1607","5","1","5","0","22321","21912","386","212","2009"
"beaumont-fletcher-love-s-pilgrimage","eng000361","Q6690009","Beaumont","1","Love's Pilgrimage","","Tragicomedy","https://texts.earlyprint.org/works/A27177_33.xml","","","","","1616","34","false","0.793994219970224","0.32798573975044565","1.8520499108734403","eng000361-philippo","10.823529411764707","4","","","","27","34","3","30","1","2","1","184","1616","15","1","5","15","24759","24347","374","3","3306"
"beaumont-fletcher-massinger-beggars-bush","eng000335","Q4880446","Beaumont","2","Beggars' Bush","","Comedy","https://texts.earlyprint.org/works/A27177_07.xml","","","","","1615","29","false","0.8356491331377496","0.5344827586206896","1.5098522167487685","eng000335-florez|eng000335-gerard","14.96551724137931","3","","","","25","29","4","25","0","1","1","217","1615","16","1","5","16","21037","20645","306","19","2674"
"beaumont-fletcher-massinger-love-s-cure","eng000353","","Beaumont","2","Love's Cure, or The Martial Maid","","Comedy","https://texts.earlyprint.org/works/A27177_25.xml","","","","","1606","19","false","0.9504643962848299","0.9122807017543859","1.087719298245614","several characters","16.42105263157895","2","","","","18","19","4","15","0","0","1","156","1606","17","","5","17","21519","21065","298","115","2299"
"beaumont-fletcher-massinger-thierry-and-theodoret","eng000010","Q7784078","Beaumont","2","Thierry and Theodoret","","Tragedy","https://texts.earlyprint.org/works/A00968.xml","","","","","1617","31","false","0.9078867587079325","0.6537634408602151","1.346236559139785","several characters","19.612903225806452","2","","","","30","31","4","27","0","1","1","304","1617","6","1","5","6","20554","20376","238","55","2420"
"beaumont-fletcher-philaster","eng000108","Q7182950","Beaumont","1","Philaster","","Tragicomedy","https://texts.earlyprint.org/works/A06343.xml","","","","","1609","25","false","0.9092121212121214","0.7766666666666666","1.2233333333333334","several characters","18.64","2","","","","24","25","5","19","1","2","1","233","1609","5","2","5","0","21348","20728","458","598","1174"
"beaumont-fletcher-the-coxcomb","eng000336","Q7727914","Beaumont","1","The Coxcomb","","Comedy","https://texts.earlyprint.org/works/A27177_08.xml","","","","","1608","26","false","0.867398743327536","0.7076923076923077","1.2923076923076924","several characters","17.692307692307693","2","","","","25","26","7","19","0","0","1","230","1608","5","1","5","5","22821","22294","360","497","1320"
"beaumont-fletcher-the-maid-s-tragedy","eng000107","Q7749612","Beaumont","1","The Maid's Tragedy","","Tragedy","https://texts.earlyprint.org/works/A06289.xml","","","","","1610","24","false","0.9047379162468676","0.6557971014492754","1.3442028985507246","several characters","15.083333333333334","2","","","","23","24","9","15","0","1","1","181","1610","6","3","5","0","22595","22201","295","489","2230"
"beaumont-fletcher-the-scornful-lady","eng000109","Q7762614","Beaumont","1","The Scornful Lady","","Comedy","https://texts.earlyprint.org/works/A06389.xml","","","","","1610","14","false","1","1","1","several characters","13","1","","","","13","14","4","10","0","0","1","91","1610","5","1","5","5","25149","24877","307","1027","341"
"beaumont-fletcher-the-woman-hater","eng000111","Q7775476","Beaumont","1","The Woman Hater","","Comedy","https://texts.earlyprint.org/works/A06458.xml","","","","","1606","25","false","0.8901283251529584","0.7133333333333334","1.2866666666666666","eng000111-lazarillo","17.12","2","","","","24","25","7","19","0","1","1","214","1606","13","2","5","13","24286","23544","396","826","656"
"beaumont-the-knight-of-the-burning-pestle","eng000105","Q7744852","Beaumont","0","The Knight of the Burning Pestle","","Comedy","https://texts.earlyprint.org/works/A06252.xml","","","","","1607","31","false","0.8901959442115172","0.6752688172043011","1.324731182795699","eng000105-wife|eng000105-citizen|eng000105-rafe","20.258064516129032","2","","","","30","31","5","26","0","0","1","314","1607","7","5","5","0","23195","22251","469","451","1331"
"beaumont-the-masque-of-the-inner-temple-and-gray-s-inn","eng000101","Q7750543","Beaumont","0","The Masque of the Inner Temple and Gray's Inn","","","https://texts.earlyprint.org/works/A06150.xml","","","","","1613","2","false","0","1","1","eng000101-iris|eng000101-mercury","1","1","","","","1","2","1","1","0","0","1","1","1613","1","1","0","0","3605","1077","0","0","136"
"bedloe-the-excommunicated-prince","eng000638","","Bedloe","0","The Excommunicated Prince, or The False Relique","","","https://texts.earlyprint.org/works/A27247.xml","","","","","1679","0","false","","","","","","","","","1679","","0","0","0","0","0","","","","18","","5","18","17826","13909","549","0","1643"
"behn-abdelazer","eng000639","Q307837","Behn","0","Abdelazer, or The Moor's Revenge","","","https://texts.earlyprint.org/works/A27277.xml","","","","","1677","0","false","","","","","","","","","1677","","0","0","0","0","0","","","","18","5","5","16","25087","23449","1395","3","2795"
"behn-the-amorous-prince","eng000444","","Behn","0","The Amorous Prince, or The Curious Husband","","","https://texts.earlyprint.org/works/A27279.xml","","","","","1671","0","false","","","","","","","","","1671","","0","0","0","0","0","","","","21","","5","20","25338","23750","1217","0","2856"
"behn-the-city-heiress","eng000445","","Behn","0","The City Heiress, or Sir Timothy Treatall","","","https://texts.earlyprint.org/works/A27280.xml","","","","","1682","0","false","","","","","","","","","1682","","0","0","0","0","0","","","","6","","5","6","31352","27684","1798","812","873"
"behn-the-debauchee","eng000458","","Behn","0","The Debauchee, or The Credulous Cuckold","","","https://texts.earlyprint.org/works/A29636.xml","","","","","1677","0","false","","","","","","","","","1677","","0","0","0","0","0","","","","14","","5","14","23694","22470","727","1039","27"
"behn-the-dutch-lover","eng000446","Q65052928","Behn","0","The Dutch Lover","","","https://texts.earlyprint.org/works/A27287.xml","","","","","1673","0","false","","","","","","","","","1673","","0","0","0","0","0","","","","19","1","5","19","33963","29144","2094","944","1177"
"behn-the-emperor-of-the-moon","eng000447","Q7731937","Behn","0","The Emperor of the Moon","","","https://texts.earlyprint.org/works/A27288.xml","","","","","1687","15","false","0.9232323232323232","0.6952380952380952","1.3428571428571427","several characters","9.733333333333333","3","","","1687","12","16","4","11","1","0","1","73","","10","2","3","10","21008","18887","2686","451","592"
"behn-the-false-count","eng000448","","Behn","0","The False Count, or A New Way to Play an Old Game","","","https://texts.earlyprint.org/works/A27291.xml","","","","","1682","0","false","","","","","","","","","1682","","0","0","0","0","0","","","","8","","5","8","23995","22417","892","1014","120"
"behn-the-feign-d-curtizans","eng000449","","Behn","0","The feignʻd curtizans, or, A nights intrigue. A comedy· As it is acted at the Dukes Theatre. Written by Mrs. A. Behn. Licensed Mar. 27. 1679","","Comedy","https://texts.earlyprint.org/works/A27293.xml","","","","","1679","0","false","","","","","","","","","1679","","0","0","0","0","0","","","","6","","5","6","32601","30575","2738","1068","520"
"behn-the-forced-marriage","eng000450","","Behn","0","The Forced Marriage, or the Jealous Bridegroom","","","https://texts.earlyprint.org/works/A27294.xml","","","","","1671","0","false","","","","","","","","","1671","","0","0","0","0","0","","","","28","","5","28","27262","25528","1509","0","3005"
"behn-the-lucky-chance","eng000451","Q55635364","Behn","0","The Lucky Chance, or An Alderman's Bargain","","","https://texts.earlyprint.org/works/A27303.xml","","","","","1687","0","false","","","","","","","","","1687","","0","0","0","0","0","","","","19","1","5","19","29981","23956","1986","472","1147"
