name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"daniel-cleopatra","eng000296","","Daniel","0","Cleopatra","","Tragedy","https://texts.earlyprint.org/works/A19816_03.xml","","","","","1594","11","false","0.22727272727272727","0.2","1.6521739130434783","eng000296-caesar|eng000296-selevicus|eng000296-dolabella","2","3","","","","4","11","2","10","0","1","3","11","1594","7","","5","4","14838","9974","3","0","1209"
"daniel-delia","eng000730","","Daniel","0","Delia","","Tragedy","https://texts.earlyprint.org/works/A19816_00.xml","","","","","1594","0","false","","","","","","","","","","","0","0","0","0","0","","","1594","0","","0","0","14305","0","0","0","0"
"daniel-hymen-s-triumph","eng000297","","Daniel","0","Hymen's Triumph","","Tragicomedy","https://texts.earlyprint.org/works/A19829.xml","","","","","1614","12","false","0.5138888888888888","0.24242424242424243","2.984848484848485","eng000297-phillis|eng000297-montanus","2.6666666666666665","7","","","","4","16","8","8","0","1","1","16","1614","23","","5","23","16477","13750","81","0","1626"
"daniel-philotas","eng000295","","Daniel","0","Philotas","","Tragedy","https://texts.earlyprint.org/works/A19812_02.xml","","","","","1605","25","false","0.7661645021645022","0.31333333333333335","2.0366666666666666","eng000295-craterus","7.52","4","","","","15","25","2","21","1","2","1","94","1605","12","","5","12","18817","17373","66","0","2134"
"daniel-the-queen-s-arcadia","eng000298","","Daniel","0","The Queen's Arcadia","","Comedy","https://texts.earlyprint.org/works/A19835.xml","","","","","1605","17","false","0.9315126050420168","0.8602941176470589","1.1397058823529411","eng000298-amarillis|eng000298-dorinda","13.764705882352942","2","","","","16","17","6","11","0","0","1","117","1605","22","","5","22","21640","20936","76","0","2536"
"daniel-the-vision-of-the-twelve-goddesses","eng000299","Q7772883","Daniel","0","The Vision of the Twelve Goddesses","","","https://texts.earlyprint.org/works/A19837.xml","","","","","1604","6","false","0","0.13333333333333333","1","several characters","0.6666666666666666","1","","","","1","6","0","0","0","0","4","2","1604","6","1","0","0","1806","1104","222","4","73"
"davenant-albovine-king-of-the-lombards","eng000303","","Davenant","0","Albovine, King of the Lombards","","Tragedy","https://texts.earlyprint.org/works/A19881.xml","","","","","1626","16","false","0.9387591575091576","0.9166666666666666","1.0833333333333333","several characters","13.75","2","","","","15","16","3","12","1","0","1","110","1626","5","","5","0","22282","20751","532","228","2477"
"davenant-britannia-triumphans","eng000069","","Davenant","0","Britannia Triumphans","","","https://texts.earlyprint.org/works/A04599.xml","","","","","1637","11","false","0.7694805194805195","0.5818181818181818","1.135135135135135","eng000069-action|eng000069-merlin|eng000069-bellerophon","5.818181818181818","2","","","","8","11","2","9","0","1","2","32","1637","3","","0","0","5568","2916","66","0","362"
"davenant-circe","eng000668","Q108101370","Davenant","0","Circe","","","https://texts.earlyprint.org/works/A37158.xml","","","","","1677","0","false","","","","","","","","","1677","","0","0","0","0","0","","","","31","1","5","30","17826","15229","955","0","1843"
"davenant-macbeth","eng000716","","Davenant","0","Macbeth","","","https://texts.earlyprint.org/works/A59503.xml","","","","","1674","0","false","","","","","","","","","1674","","0","0","0","0","0","","","","9","","5","5","19098","18069","596","9","2262"
