,numOfCoAuthors,title,normalizedGenre,yearNormalized,libretto,datePremiered,yearPremiered,yearPrinted,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numOfActs,numOfScenes,wordCountText,wordCountStage,wordCountSp
1082,0,Le Magister,,1887,False,,,1887,3,0,1,2,0,1,4,4426,82,3698
1083,0,Le Malade Réel,,1887,False,,,1887,11,1,1,9,0,0,3,3522,230,2692
1084,0,Molière en Prison,,1887,False,,,1887,4,1,2,1,0,1,7,6304,374,5452
1085,0,"Poquelin, Père et Fils",,1881,False,1881-01-15,1881.0,1887,7,1,4,2,0,1,14,7536,661,6628
1086,0,Silence dans les Rangs !,Comedy,1875,False,1875-03-19,1875.0,1876,3,1,1,1,0,0,6,5737,223,5552
1087,0,Entre la Soupe et les Lèvres,,1878,False,,,1878,1,0,1,0,0,1,1,1725,196,1636
1088,0,L'Original,Comedy,1796,False,1796-07-30,1796.0,1797,3,1,2,0,0,1,12,5215,68,5110
1089,0,Phèdre,,1786,True,1786-01-01,1786.0,1786,20,3,1,16,0,3,21,6949,341,6557
1090,0,La Comédie à la Fenêtre,Comedy,1852,False,,,1852,5,2,0,3,0,0,8,4775,222,4608
1091,1,Les Burgraves Trilogie,,1843,False,1843-03-07,1843.0,1843,31,2,15,14,0,0,17,26446,3675,21526
1092,1,Etre Aimé,Comedy,1886,False,,,1886,1,0,1,0,0,0,1,998,4,961
1093,1,Hernani ou L'Honneur Castillan,,1830,False,1830-02-25,1830.0,1830,31,0,14,17,0,5,29,25405,3351,22905
1094,1,L'Enrôleur Politique [dialogue],,1885,False,,,1885,2,0,2,0,0,0,1,1738,17,1670
1095,1,Les Deux Ages Idylle,,1885,False,,,1885,2,0,2,0,0,0,1,374,0,321
1096,1,Les Gueux,,1830,False,,,1830,2,0,1,1,0,0,1,2250,36,2210
1097,1,Prologue,,1830,False,,,1830,3,0,1,2,0,0,1,361,6,331
1098,1,Ruy Blas,,1838,False,1838-11-08,1838.0,1838,27,0,13,14,0,0,27,33244,5853,28598
1099,1,Sur la Lisière d'un Bois,Comedy,1886,False,,,1886,3,1,1,1,0,0,1,957,24,910
1100,0,La Boite A Musique,Comedy,1906,False,,,1906,17,3,2,12,0,0,14,4705,207,4519
1101,0,Cendrillon,Comedy,1906,False,,,1906,12,3,4,5,0,0,14,5546,286,5395
1102,0,La Maison des Dimanches,Comedy,1879,False,,,1879,13,3,5,5,0,0,7,3782,205,3574
1103,0,Une Nuit de Molière,Comedy,1879,False,,,1879,2,1,1,0,0,1,2,3387,96,2898
1104,0,Tyl l'Espiegle,Comedy,1906,False,,,1906,23,1,2,20,0,0,10,6178,454,5986
1105,0,"L'Ingénu, ou Le Sauvage du Canada",,1805,False,,,1805,7,2,2,3,0,0,24,5725,5058,1559
1106,0,L'Inauguration du Théâtre Français,Comedy,1782,False,1782-04-09,1782.0,1782,12,4,4,4,0,1,9,4336,202,4087
1107,0,Poinsinet et Molière,,1772,False,1782-04-09,1782.0,1772,2,0,2,0,0,1,1,2222,0,1808
1108,1,"Pradon, Sifflé, Battu et Content",Comedy,1799,False,1799-10-02,1799.0,1800,6,1,4,1,0,1,14,5706,230,5495
